id_municipio,id_municipio_tjsp,municipio_tjsp,municipio_corrigido
3500105,6504,Adamantina,Adamantina
3500204,6505,Adolfo,Adolfo
3500303,6506,Aguaí,Aguaí
3500402,6507,Águas da Prata,Águas da Prata
3500501,6508,Águas de Lindóia,Águas de Lindóia
3500550,6509,Águas de Santa Bárbara,Águas de Santa Bárbara
3500600,6510,Águas de São Pedro,Águas de São Pedro
3500709,6511,Agudos,Agudos
3500758,6512,Alambari,Alambari
3500808,6513,Alfredo Marcondes,Alfredo Marcondes
3500907,6514,Altair,Altair
3501004,6515,Altinópolis,Altinópolis
3501103,6516,Alto Alegre,Alto Alegre
3501152,6517,Alumínio,Alumínio
3501202,6518,Álvares Florence,Álvares Florence
3501301,6519,Álvares Machado,Álvares Machado
3501400,6520,Álvaro de Carvalho,Álvaro de Carvalho
3501509,6521,Alvinlândia,Alvinlândia
3501608,6522,Americana,Americana
3501707,6523,Américo Brasiliense,Américo Brasiliense
3501806,6524,Américo de Campos,Américo de Campos
3501905,6525,Amparo,Amparo
3502002,6526,Analândia,Analândia
3502101,6527,Andradina,Andradina
3502200,6528,Angatuba,Angatuba
3502309,6529,Anhembi,Anhembi
3502408,6530,Anhumas,Anhumas
3502507,6531,Aparecida,Aparecida
3502606,6532,Aparecida d'Oeste,Aparecida d'Oeste
3502705,6533,Apiaí,Apiaí
3502754,6534,Araçariguama,Araçariguama
3502804,6535,Araçatuba,Araçatuba
3502903,6536,Araçoiaba da Serra,Araçoiaba da Serra
3503000,6537,Aramina,Aramina
3503109,6538,Arandu,Arandu
3503158,6539,Arapeí,Arapeí
3503208,6540,Araraquara,Araraquara
3503307,6541,Araras,Araras
3503356,6542,Arco-Íris,Arco-Íris
3503406,6543,Arealva,Arealva
3503505,6544,Areias,Areias
3503604,6545,Areiópolis,Areiópolis
3503703,6546,Ariranha,Ariranha
3503802,6547,Artur Nogueira,Artur Nogueira
3503901,6548,Arujá,Arujá
3503950,6549,Aspásia,Aspásia
3504008,6550,Assis,Assis
3504107,6551,Atibaia,Atibaia
3504206,6552,Auriflama,Auriflama
3504305,6553,Avaí,Avaí
3504404,6554,Avanhandava,Avanhandava
3504503,6555,Avaré,Avaré
3504602,6556,Bady Bassitt,Bady Bassitt
3504701,6557,Balbinos,Balbinos
3504800,6558,Bálsamo,Bálsamo
3504909,6559,Bananal,Bananal
3505005,6560,Barão de Antonina,Barão de Antonina
3505104,6561,Barbosa,Barbosa
3505203,6562,Bariri,Bariri
3505302,6563,Barra Bonita,Barra Bonita
3505351,6564,Barra do Chapéu,Barra do Chapéu
3505401,6565,Barra do Turvo,Barra do Turvo
3505500,6566,Barretos,Barretos
3505609,6567,Barrinha,Barrinha
3505708,6568,Barueri,Barueri
3505807,6569,Bastos,Bastos
3505906,6570,Batatais,Batatais
3506003,6571,Bauru,Bauru
3506102,6572,Bebedouro,Bebedouro
3506201,6573,Bento de Abreu,Bento de Abreu
3506300,6574,Bernardino de Campos,Bernardino de Campos
3506359,6575,Bertioga,Bertioga
3506409,6576,Bilac,Bilac
3506508,6577,Birigui,Birigui
3506607,6578,Biritiba-Mirim,Biritiba-Mirim
3506706,6579,Boa Esperança do Sul,Boa Esperança do Sul
3506805,6580,Bocaina,Bocaina
3506904,6581,Bofete,Bofete
3507001,6582,Boituva,Boituva
3507100,6583,Bom Jesus dos Perdões,Bom Jesus dos Perdões
3507159,6584,Bom Sucesso de Itararé,Bom Sucesso de Itararé
3507209,6585,Borá,Borá
3507308,6586,Boracéia,Boracéia
3507407,6587,Borborema,Borborema
3507456,6588,Borebi,Borebi
3507506,6589,Botucatu,Botucatu
3507605,6590,Bragança Paulista,Bragança Paulista
3507704,6591,Braúna,Braúna
3507753,6592,Brejo Alegre,Brejo Alegre
3507803,6593,Brodowski,Brodowski
3507902,6594,Brotas,Brotas
3508009,6595,Buri,Buri
3508108,6596,Buritama,Buritama
3508207,6597,Buritizal,Buritizal
3508306,6598,Cabrália Paulista,Cabrália Paulista
3508405,6599,Cabreúva,Cabreúva
3508504,6600,Caçapava,Caçapava
3508603,6601,Cachoeira Paulista,Cachoeira Paulista
3508702,6602,Caconde,Caconde
3508801,6603,Cafelândia,Cafelândia
3508900,6604,Caiabu,Caiabu
3509007,6605,Caieiras,Caieiras
3509106,6606,Caiuá,Caiuá
3509205,6607,Cajamar,Cajamar
3509254,6608,Cajati,Cajati
3509304,6609,Cajobi,Cajobi
3509403,6610,Cajuru,Cajuru
3509452,6611,Campina do Monte Alegre,Campina do Monte Alegre
3509502,6612,Campinas,Campinas
3509601,6613,Campo Limpo Paulista,Campo Limpo Paulista
3509700,6614,Campos do Jordão,Campos do Jordão
3509809,6615,Campos Novos Paulista,Campos Novos Paulista
3509908,6616,Cananéia,Cananéia
3509957,6617,Canas,Canas
3510005,6618,Cândido Mota,Cândido Mota
3510104,6619,Cândido Rodrigues,Cândido Rodrigues
3510153,6620,Canitar,Canitar
3510203,6621,Capão Bonito,Capão Bonito
3510302,6622,Capela do Alto,Capela do Alto
3510401,6623,Capivari,Capivari
3510500,6624,Caraguatatuba,Caraguatatuba
3510609,6625,Carapicuíba,Carapicuíba
3510708,6626,Cardoso,Cardoso
3510807,6627,Casa Branca,Casa Branca
3510906,6628,Cássia dos Coqueiros,Cássia dos Coqueiros
3511003,6629,Castilho,Castilho
3511102,6630,Catanduva,Catanduva
3511201,6631,Catiguá,Catiguá
3511300,6632,Cedral,Cedral
3511409,6633,Cerqueira César,Cerqueira César
3511508,6634,Cerquilho,Cerquilho
3511607,6635,Cesário Lange,Cesário Lange
3511706,6636,Charqueada,Charqueada
3557204,7147,Chavantes,Chavantes
3511904,6637,Clementina,Clementina
3512001,6638,Colina,Colina
3512100,6639,Colômbia,Colômbia
3512209,6640,Conchal,Conchal
3512308,6641,Conchas,Conchas
3512407,6642,Cordeirópolis,Cordeirópolis
3512506,6643,Coroados,Coroados
3512605,6644,Coronel Macedo,Coronel Macedo
3512704,6645,Corumbataí,Corumbataí
3512803,6646,Cosmópolis,Cosmópolis
3512902,6647,Cosmorama,Cosmorama
3513009,6648,Cotia,Cotia
3513108,6649,Cravinhos,Cravinhos
3513207,6650,Cristais Paulista,Cristais Paulista
3513306,6651,Cruzália,Cruzália
3513405,6652,Cruzeiro,Cruzeiro
3513504,6653,Cubatão,Cubatão
3513603,6654,Cunha,Cunha
3513702,6655,Descalvado,Descalvado
3513801,6656,Diadema,Diadema
3513850,6657,Dirce Reis,Dirce Reis
3513900,6658,Divinolândia,Divinolândia
3514007,6659,Dobrada,Dobrada
3514106,6660,Dois Córregos,Dois Córregos
3514205,6661,Dolcinópolis,Dolcinópolis
3514304,6662,Dourado,Dourado
3514403,6663,Dracena,Dracena
3514502,6664,Duartina,Duartina
3514601,6665,Dumont,Dumont
3514700,6666,Echaporã,Echaporã
3514809,6667,Eldorado,Eldorado
3514908,6668,Elias Fausto,Elias Fausto
3514924,6669,Elisiário,Elisiário
3514957,6670,Embaúba,Embaúba
3515004,6671,Embu das Artes,Embu das Artes
3515103,6672,Embu-Guaçu,Embu-Guaçu
3515129,6673,Emilianópolis,Emilianópolis
3515152,6674,Engenheiro Coelho,Engenheiro Coelho
3515186,6675,Espírito Santo do Pinhal,Espírito Santo do Pinhal
3515194,6676,Espírito Santo do Turvo,Espírito Santo do Turvo
3557303,7148,Estiva Gerbi,Estiva Gerbi
3515301,6678,Estrela do Norte,Estrela do Norte
3515202,6677,Estrela dOeste,Estrela d'Oeste
3515350,6679,Euclides da Cunha Paulista,Euclides da Cunha Paulista
3515400,6680,Fartura,Fartura
3515608,6682,Fernando Prestes,Fernando Prestes
3515509,6681,Fernandópolis,Fernandópolis
3515657,6683,Fernão,Fernão
3515707,6684,Ferraz de Vasconcelos,Ferraz de Vasconcelos
3515806,6685,Flora Rica,Flora Rica
3515905,6686,Floreal,Floreal
3516002,6687,Flórida Paulista,Flórida Paulista
3516101,6688,Florínia,Florínea
3516200,6689,Franca,Franca
3516309,6690,Francisco Morato,Francisco Morato
3516408,6691,Franco da Rocha,Franco da Rocha
3516507,6692,Gabriel Monteiro,Gabriel Monteiro
3516606,6693,Gália,Gália
3516705,6694,Garça,Garça
3516804,6695,Gastão Vidigal,Gastão Vidigal
3516853,6696,Gavião Peixoto,Gavião Peixoto
3516903,6697,General Salgado,General Salgado
3517000,6698,Getulina,Getulina
3517109,6699,Glicério,Glicério
3517208,6700,Guaiçara,Guaiçara
3517307,6701,Guaimbê,Guaimbê
3517406,6702,Guaíra,Guaíra
3517505,6703,Guapiaçu,Guapiaçu
3517604,6704,Guapiara,Guapiara
3517703,6705,Guará,Guará
3517802,6706,Guaraçaí,Guaraçaí
3517901,6707,Guaraci,Guaraci
3518008,6708,Guarani d'Oeste,Guarani d'Oeste
3518107,6709,Guarantã,Guarantã
3518206,6710,Guararapes,Guararapes
3518305,6711,Guararema,Guararema
3518404,6712,Guaratinguetá,Guaratinguetá
3518503,6713,Guareí,Guareí
3518602,6714,Guariba,Guariba
3518701,6715,Guarujá,Guarujá
3518800,6716,Guarulhos,Guarulhos
3518859,6717,Guatapará,Guatapará
3518909,6718,Guzolândia,Guzolândia
3519006,6719,Herculândia,Herculândia
3519055,6720,Holambra,Holambra
3519071,6721,Hortolândia,Hortolândia
3519105,6722,Iacanga,Iacanga
3519204,6723,Iacri,Iacri
3519253,6724,Iaras,Iaras
3519303,6725,Ibaté,Ibaté
3519402,6726,Ibirá,Ibirá
3519501,6727,Ibirarema,Ibirarema
3519600,6728,Ibitinga,Ibitinga
3519709,6729,Ibiúna,Ibiúna
3519808,6730,Icém,Icém
3519907,6731,Iepê,Iepê
3520004,6732,Igaraçu do Tietê,Igaraçu do Tietê
3520103,6733,Igarapava,Igarapava
3520202,6734,Igaratá,Igaratá
3520301,6735,Iguape,Iguape
3520426,6737,Ilha Comprida,Ilha Comprida
3520442,6738,Ilha Solteira,Ilha Solteira
3520400,6736,Ilhabela,Ilhabela
3520509,6739,Indaiatuba,Indaiatuba
3520608,6740,Indiana,Indiana
3520707,6741,Indiaporã,Indiaporã
3520806,6742,Inúbia Paulista,Inúbia Paulista
3520905,6743,Ipaussu,Ipaussu
3521002,6744,Iperó,Iperó
3521101,6745,Ipeúna,Ipeúna
3521150,6746,Ipiguá,Ipiguá
3521200,6747,Iporanga,Iporanga
3521309,6748,Ipuã,Ipuã
3521408,6749,Iracemápolis,Iracemápolis
3521507,6750,Irapuã,Irapuã
3521606,6751,Irapuru,Irapuru
3521705,6752,Itaberá,Itaberá
3521804,6753,Itaí,Itaí
3521903,6754,Itajobi,Itajobi
3522000,6755,Itaju,Itaju
3522109,6756,Itanhaém,Itanhaém
3522158,6757,Itaóca,Itaóca
3522208,6758,Itapecerica da Serra,Itapecerica da Serra
3522307,6759,Itapetininga,Itapetininga
3522406,6760,Itapeva,Itapeva
3522505,6761,Itapevi,Itapevi
3522604,6762,Itapira,Itapira
3522653,6763,Itapirapuã Paulista,Itapirapuã Paulista
3522703,6764,Itápolis,Itápolis
3522802,6765,Itaporanga,Itaporanga
3522901,6766,Itapuí,Itapuí
3523008,6767,Itapura,Itapura
3523107,6768,Itaquaquecetuba,Itaquaquecetuba
3523206,6769,Itararé,Itararé
3523305,6770,Itariri,Itariri
3523404,6771,Itatiba,Itatiba
3523503,6772,Itatinga,Itatinga
3523602,6773,Itirapina,Itirapina
3523701,6774,Itirapuã,Itirapuã
3523800,6775,Itobi,Itobi
3523909,6776,Itu,Itu
3524006,6777,Itupeva,Itupeva
3524105,6778,Ituverava,Ituverava
3524204,6779,Jaborandi,Jaborandi
3524303,6780,Jaboticabal,Jaboticabal
3524402,6781,Jacareí,Jacareí
3524501,6782,Jaci,Jaci
3524600,6783,Jacupiranga,Jacupiranga
3524709,6784,Jaguariúna,Jaguariúna
3524808,6785,Jales,Jales
3524907,6786,Jambeiro,Jambeiro
3525003,6787,Jandira,Jandira
3525102,6788,Jardinópolis,Jardinópolis
3525201,6789,Jarinu,Jarinu
3525300,6790,Jaú,Jaú
3525409,6791,Jeriquara,Jeriquara
3525508,6792,Joanópolis,Joanópolis
3525607,6793,João Ramalho,João Ramalho
3525706,6794,José Bonifácio,José Bonifácio
3525805,6795,Júlio Mesquita,Júlio Mesquita
3525854,6796,Jumirim,Jumirim
3525904,6797,Jundiaí,Jundiaí
3526001,6798,Junqueirópolis,Junqueirópolis
3526100,6799,Juquiá,Juquiá
3526209,6800,Juquitiba,Juquitiba
3526308,6801,Lagoinha,Lagoinha
3526407,6802,Laranjal Paulista,Laranjal Paulista
3526506,6803,Lavínia,Lavínia
3526605,6804,Lavrinhas,Lavrinhas
3526704,6805,Leme,Leme
3526803,6806,Lençóis Paulista,Lençóis Paulista
3526902,6807,Limeira,Limeira
3527009,6808,Lindóia,Lindóia
3527108,6809,Lins,Lins
3527207,6810,Lorena,Lorena
3527256,6811,Lourdes,Lourdes
3527306,6812,Louveira,Louveira
3527405,6813,Lucélia,Lucélia
3527504,6814,Lucianópolis,Lucianópolis
3527603,6815,Luís Antônio,Luiz Antônio
3527702,6816,Luiziânia,Luiziânia
3527801,6817,Lupércio,Lupércio
3527900,6818,Lutécia,Lutécia
3528007,6819,Macatuba,Macatuba
3528106,6820,Macaubal,Macaubal
3528205,6821,Macedônia,Macedônia
3528304,6822,Magda,Magda
3528403,6823,Mairinque,Mairinque
3528502,6824,Mairiporã,Mairiporã
3528601,6825,Manduri,Manduri
3528700,6826,Marabá Paulista,Marabá Paulista
3528809,6827,Maracaí,Maracaí
3528858,6828,Marapoama,Marapoama
3528908,6829,Mariápolis,Mariápolis
3529005,6830,Marília,Marília
3529104,6831,Marinópolis,Marinópolis
3529203,6832,Martinópolis,Martinópolis
3529302,6833,Matão,Matão
3529401,6834,Mauá,Mauá
3529500,6835,Mendonça,Mendonça
3529609,6836,Meridiano,Meridiano
3529658,6837,Mesópolis,Mesópolis
3529708,6838,Miguelópolis,Miguelópolis
3529807,6839,Mineiros do Tietê,Mineiros do Tietê
3530003,6841,Mira Estrela,Mira Estrela
3529906,6840,Miracatu,Miracatu
3530102,6842,Mirandópolis,Mirandópolis
3530201,6843,Mirante do Paranapanema,Mirante do Paranapanema
3530300,6844,Mirassol,Mirassol
3530409,6845,Mirassolândia,Mirassolândia
3530508,6846,Mococa,Mococa
3530706,6848,Mogi Guaçu,Mogi Guaçu
3530607,6847,Mogi das Cruzes,Mogi das Cruzes
3530805,6849,Mogi Mirim,Mogi Mirim
3530904,6850,Mombuca,Mombuca
3531001,6851,Monções,Monções
3531100,6852,Mongaguá,Mongaguá
3531209,6853,Monte Alegre do Sul,Monte Alegre do Sul
3531308,6854,Monte Alto,Monte Alto
3531407,6855,Monte Aprazível,Monte Aprazível
3531506,6856,Monte Azul Paulista,Monte Azul Paulista
3531605,6857,Monte Castelo,Monte Castelo
3531803,6859,Monte Mor,Monte Mor
3531704,6858,Monteiro Lobato,Monteiro Lobato
3531902,6860,Morro Agudo,Morro Agudo
3532009,6861,Morungaba,Morungaba
3532058,6862,Motuca,Motuca
3532108,6863,Murutinga do Sul,Murutinga do Sul
3532157,6864,Nantes,Nantes
3532207,6865,Narandiba,Narandiba
3532306,6866,Natividade da Serra,Natividade da Serra
3532405,6867,Nazaré Paulista,Nazaré Paulista
3532504,6868,Neves Paulista,Neves Paulista
3532603,6869,Nhandeara,Nhandeara
3532702,6870,Nipoã,Nipoã
3532801,6871,Nova Aliança,Nova Aliança
3532827,6872,Nova Campina,Nova Campina
3532843,6873,Nova Canaã Paulista,Nova Canaã Paulista
3532868,6874,Nova Castilho,Nova Castilho
3532900,6875,Nova Europa,Nova Europa
3533007,6876,Nova Granada,Nova Granada
3533106,6877,Nova Guataporanga,Nova Guataporanga
3533205,6878,Nova Independência,Nova Independência
3533304,6880,Nova Luzitânia,Nova Luzitânia
3533403,6881,Nova Odessa,Nova Odessa
3533254,6879,Novais,Novais
3533502,6882,Novo Horizonte,Novo Horizonte
3533601,6883,Nuporanga,Nuporanga
3533700,6884,Ocauçu,Ocauçu
3533809,6885,Óleo,Óleo
3533908,6886,Olímpia,Olímpia
3534005,6887,Onda Verde,Onda Verde
3534104,6888,Oriente,Oriente
3534203,6889,Orindiúva,Orindiúva
3534302,6890,Orlândia,Orlândia
3534401,6891,Osasco,Osasco
3534500,6892,Oscar Bressane,Oscar Bressane
3534609,6893,Osvaldo Cruz,Osvaldo Cruz
3534708,6894,Ourinhos,Ourinhos
3534807,6896,Ouro Verde,Ouro Verde
3534757,6895,Ouroeste,Ouroeste
3534906,6897,Pacaembu,Pacaembu
3535002,6898,Palestina,Palestina
3535101,6899,Palmares Paulista,Palmares Paulista
3535200,6900,Palmeira d'Oeste,Palmeira d'Oeste
3535309,6901,Palmital,Palmital
3535408,6902,Panorama,Panorama
3535507,6903,Paraguaçu Paulista,Paraguaçu Paulista
3535606,6904,Paraibuna,Paraibuna
3535705,6905,Paraíso,Paraíso
3535804,6906,Paranapanema,Paranapanema
3535903,6907,Paranapuã,Paranapuã
3536000,6908,Parapuã,Parapuã
3536109,6909,Pardinho,Pardinho
3536208,6910,Pariquera-Açu,Pariquera-Açu
3536257,6911,Parisi,Parisi
3536307,6912,Patrocínio Paulista,Patrocínio Paulista
3536406,6913,Paulicéia,Paulicéia
3536505,6914,Paulínia,Paulínia
3536570,6915,Paulistânia,Paulistânia
3536604,6916,Paulo de Faria,Paulo de Faria
3536703,6917,Pederneiras,Pederneiras
3536802,6918,Pedra Bela,Pedra Bela
3536901,6919,Pedranópolis,Pedranópolis
3537008,6920,Pedregulho,Pedregulho
3537107,6921,Pedreira,Pedreira
3537156,6922,Pedrinhas Paulista,Pedrinhas Paulista
3537206,6923,Pedro de Toledo,Pedro de Toledo
3537305,6924,Penápolis,Penápolis
3537404,6925,Pereira Barreto,Pereira Barreto
3537503,6926,Pereiras,Pereiras
3537602,6927,Peruíbe,Peruíbe
3537701,6928,Piacatu,Piacatu
3537800,6929,Piedade,Piedade
3537909,6930,Pilar do Sul,Pilar do Sul
3538006,6931,Pindamonhangaba,Pindamonhangaba
3538105,6932,Pindorama,Pindorama
3538204,6933,Pinhalzinho,Pinhalzinho
3538303,6934,Piquerobi,Piquerobi
3538501,6935,Piquete,Piquete
3538600,6936,Piracaia,Piracaia
3538709,6937,Piracicaba,Piracicaba
3538808,6938,Piraju,Piraju
3538907,6939,Pirajuí,Pirajuí
3539004,6940,Pirangi,Pirangi
3539103,6941,Pirapora do Bom Jesus,Pirapora do Bom Jesus
3539202,6942,Pirapozinho,Pirapozinho
3539301,6943,Pirassununga,Pirassununga
3539400,6944,Piratininga,Piratininga
3539509,6945,Pitangueiras,Pitangueiras
3539608,6946,Planalto,Planalto
3539707,6947,Platina,Platina
3539806,6948,Poá,Poá
3539905,6949,Poloni,Poloni
3540002,6950,Pompéia,Pompéia
3540101,6951,Pongaí,Pongaí
3540200,6952,Pontal,Pontal
3540259,6953,Pontalinda,Pontalinda
3540309,6954,Pontes Gestal,Pontes Gestal
3540408,6955,Populina,Populina
3540507,6956,Porangaba,Porangaba
3540606,6957,Porto Feliz,Porto Feliz
3540705,6958,Porto Ferreira,Porto Ferreira
3540754,6959,Potim,Potim
3540804,6960,Potirendaba,Potirendaba
3540853,6961,Pracinha,Pracinha
3540903,6962,Pradópolis,Pradópolis
3541000,6963,Praia Grande,Praia Grande
3541059,6964,Pratânia,Pratânia
3541109,6965,Presidente Alves,Presidente Alves
3541208,6966,Presidente Bernardes,Presidente Bernardes
3541307,6967,Presidente Epitácio,Presidente Epitácio
3541406,6968,Presidente Prudente,Presidente Prudente
3541505,6969,Presidente Venceslau,Presidente Venceslau
3541604,6970,Promissão,Promissão
3541653,6971,Quadra,Quadra
3541703,6972,Quatá,Quatá
3541802,6973,Queiroz,Queiroz
3541901,6974,Queluz,Queluz
3542008,6975,Quintana,Quintana
3542107,6976,Rafard,Rafard
3542206,6977,Rancharia,Rancharia
3542305,6978,Redenção da Serra,Redenção da Serra
3542404,6979,Regente Feijó,Regente Feijó
3542503,6980,Reginópolis,Reginópolis
3542602,6981,Registro,Registro
3542701,6982,Restinga,Restinga
3542800,6983,Ribeira,Ribeira
3542909,6984,Ribeirão Bonito,Ribeirão Bonito
3543006,6985,Ribeirão Branco,Ribeirão Branco
3543105,6986,Ribeirão Corrente,Ribeirão Corrente
3543204,6987,Ribeirão do Sul,Ribeirão do Sul
3543238,6988,Ribeirão dos Índios,Ribeirão dos Índios
3543253,6989,Ribeirão Grande,Ribeirão Grande
3543303,6990,Ribeirão Pires,Ribeirão Pires
3543402,6991,Ribeirão Preto,Ribeirão Preto
3543600,6993,Rifaina,Rifaina
3543709,6994,Rincão,Rincão
3543808,6995,Rinópolis,Rinópolis
3543907,6996,Rio Claro,Rio Claro
3544004,6997,Rio das Pedras,Rio das Pedras
3544103,6998,Rio Grande da Serra,Rio Grande da Serra
3544202,6999,Riolândia,Riolândia
3543501,6992,Riversul,Riversul
3544251,7000,Rosana,Rosana
3544301,7001,Roseira,Roseira
3544400,7002,Rubiácea,Rubiácea
3544509,7003,Rubinéia,Rubinéia
3544608,7004,Sabino,Sabino
3544707,7005,Sagres,Sagres
3544806,7006,Sales,Sales
3544905,7007,Sales Oliveira,Sales Oliveira
3545001,7008,Salesópolis,Salesópolis
3545100,7009,Salmourão,Salmourão
3545159,7010,Saltinho,Saltinho
3545209,7011,Salto,Salto
3545308,7012,Salto de Pirapora,Salto de Pirapora
3545407,7013,Salto Grande,Salto Grande
3545506,7014,Sandovalina,Sandovalina
3545605,7015,Santa Adélia,Santa Adélia
3545704,7016,Santa Albertina,Santa Albertina
3545803,7017,Santa Bárbara d'Oeste,Santa Bárbara d'Oeste
3546009,7018,Santa Branca,Santa Branca
3546108,7019,Santa Clara d'Oeste,Santa Clara d'Oeste
3546207,7020,Santa Cruz da Conceição,Santa Cruz da Conceição
3546256,7021,Santa Cruz da Esperança,Santa Cruz da Esperança
3546306,7022,Santa Cruz das Palmeiras,Santa Cruz das Palmeiras
3546405,7023,Santa Cruz do Rio Pardo,Santa Cruz do Rio Pardo
3546504,7024,Santa Ernestina,Santa Ernestina
3546603,7025,Santa Fé do Sul,Santa Fé do Sul
3546702,7026,Santa Gertrudes,Santa Gertrudes
3546801,7027,Santa Isabel,Santa Isabel
3546900,7028,Santa Lúcia,Santa Lúcia
3547007,7029,Santa Maria da Serra,Santa Maria da Serra
3547106,7030,Santa Mercedes,Santa Mercedes
3547502,7034,Santa Rita do Passa Quatro,Santa Rita do Passa Quatro
3547403,7033,Santa Rita d'Oeste,Santa Rita d'Oeste
3547601,7035,Santa Rosa de Viterbo,Santa Rosa de Viterbo
3547650,7036,Santa Salete,Santa Salete
3547205,7031,Santana da Ponte Pensa,Santana da Ponte Pensa
3547304,7032,Santana de Parnaíba,Santana de Parnaíba
3547700,7037,Santo Anastácio,Santo Anastácio
3547809,7038,Santo André,Santo André
3547908,7039,Santo Antônio da Alegria,Santo Antônio da Alegria
3548005,7040,Santo Antônio de Posse,Santo Antônio de Posse
3548054,7041,Santo Antônio do Aracanguá,Santo Antônio do Aracanguá
3548104,7042,Santo Antônio do Jardim,Santo Antônio do Jardim
3548203,7043,Santo Antônio do Pinhal,Santo Antônio do Pinhal
3548302,7044,Santo Expedito,Santo Expedito
3548401,7045,Santópolis do Aguapeí,Santópolis do Aguapeí
3548500,7046,Santos,Santos
3548609,7047,São Bento do Sapucaí,São Bento do Sapucaí
3548708,7048,São Bernardo do Campo,São Bernardo do Campo
3548807,7049,São Caetano do Sul,São Caetano do Sul
3548906,7050,São Carlos,São Carlos
3549003,7051,São Francisco,São Francisco
3549102,7052,São João da Boa Vista,São João da Boa Vista
3549201,7053,São João das Duas Pontes,São João das Duas Pontes
3549250,7054,São João de Iracema,São João de Iracema
3549300,7055,São João do Pau d'Alho,São João do Pau d'Alho
3549409,7056,São Joaquim da Barra,São Joaquim da Barra
3549508,7057,São José da Bela Vista,São José da Bela Vista
3549607,7058,São José do Barreiro,São José do Barreiro
3549706,7059,São José do Rio Pardo,São José do Rio Pardo
3549805,7060,São José do Rio Preto,São José do Rio Preto
3549904,7061,São José dos Campos,São José dos Campos
3549953,7062,São Lourenço da Serra,São Lourenço da Serra
3550001,7063,São Luiz do Paraitinga,São Luiz do Paraitinga
3550100,7064,São Manuel,São Manuel
3550209,7065,São Miguel Arcanjo,São Miguel Arcanjo
3550308,7066,São Paulo,São Paulo
3550407,7067,São Pedro,São Pedro
3550506,7068,São Pedro do Turvo,São Pedro do Turvo
3550605,7069,São Roque,São Roque
3550704,7070,São Sebastião,São Sebastião
3550803,7071,São Sebastião da Grama,São Sebastião da Grama
3550902,7072,São Simão,São Simão
3551009,7073,São Vicente,São Vicente
3551108,7074,Sarapuí,Sarapuí
3551207,7075,Sarutaiá,Sarutaiá
3551306,7076,Sebastianópolis do Sul,Sebastianópolis do Sul
3551405,7077,Serra Azul,Serra Azul
3551603,7079,Serra Negra,Serra Negra
3551504,7078,Serrana,Serrana
3551702,7080,Sertãozinho,Sertãozinho
3551801,7081,Sete Barras,Sete Barras
3551900,7082,Severínia,Severínia
3552007,7083,Silveiras,Silveiras
3552106,7084,Socorro,Socorro
3552205,7085,Sorocaba,Sorocaba
3552304,7086,Sud Mennucci,Sud Mennucci
3552403,7087,Sumaré,Sumaré
3552551,7089,Suzanápolis,Suzanápolis
3552502,7088,Suzano,Suzano
3552601,7090,Tabapuã,Tabapuã
3552700,7091,Tabatinga,Tabatinga
3552809,7092,Taboão da Serra,Taboão da Serra
3552908,7093,Taciba,Taciba
3553005,7094,Taguaí,Taguaí
3553104,7095,Taiaçu,Taiaçu
3553203,7096,Taiúva,Taiúva
3553302,7097,Tambaú,Tambaú
3553401,7098,Tanabi,Tanabi
3553500,7099,Tapiraí,Tapiraí
3553609,7100,Tapiratiba,Tapiratiba
3553658,7101,Taquaral,Taquaral
3553708,7102,Taquaritinga,Taquaritinga
3553807,7103,Taquarituba,Taquarituba
3553856,7104,Taquarivaí,Taquarivaí
3553906,7105,Tarabai,Tarabai
3553955,7106,Tarumã,Tarumã
3554003,7107,Tatuí,Tatuí
3554102,7108,Taubaté,Taubaté
3554201,7109,Tejupá,Tejupá
3554300,7110,Teodoro Sampaio,Teodoro Sampaio
3554409,7111,Terra Roxa,Terra Roxa
3554508,7112,Tietê,Tietê
3554607,7113,Timburi,Timburi
3554656,7114,Torre de Pedra,Torre de Pedra
3554706,7115,Torrinha,Torrinha
3554755,7116,Trabiju,Trabiju
3554805,7117,Tremembé,Tremembé
3554904,7118,Três Fronteiras,Três Fronteiras
3554953,7119,Tuiuti,Tuiuti
3555000,7120,Tupã,Tupã
3555109,7121,Tupi Paulista,Tupi Paulista
3555208,7122,Turiúba,Turiúba
3555307,7123,Turmalina,Turmalina
3555356,7124,Ubarana,Ubarana
3555406,7125,Ubatuba,Ubatuba
3555505,7126,Ubirajara,Ubirajara
3555604,7127,Uchoa,Uchoa
3555703,7128,União Paulista,União Paulista
3555802,7129,Urânia,Urânia
3555901,7130,Uru,Uru
3556008,7131,Urupês,Urupês
3556107,7132,Valentim Gentil,Valentim Gentil
3556206,7133,Valinhos,Valinhos
3556305,7134,Valparaíso,Valparaíso
3556354,7135,Vargem,Vargem
3556404,7136,Vargem Grande do Sul,Vargem Grande do Sul
3556453,7137,Vargem Grande Paulista,Vargem Grande Paulista
3556503,7138,Várzea Paulista,Várzea Paulista
3556602,7139,Vera Cruz,Vera Cruz
3556701,7140,Vinhedo,Vinhedo
3556800,7141,Viradouro,Viradouro
3556909,7142,Vista Alegre do Alto,Vista Alegre do Alto
3556958,7143,Vitória Brasil,Vitória Brasil
3557006,7144,Votorantim,Votorantim
3557105,7145,Votuporanga,Votuporanga
3557154,7146,Zacarias,Zacarias
